actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,9.011155128479004
0.0,4.642128944396973
0.0,0.31476378440856934
0.0,3.9766557216644287
0.0,8.10015869140625
0.0,12.261088371276855
0.0,16.270414352416992
0.0,20.002538681030273
188.84799194335938,23.700965881347656
205.9004364013672,27.178550720214844
219.5424041748047,30.35105323791504
236.59483337402344,33.48072814941406
250.2367401123047,36.411293029785156
263.87872314453125,39.126163482666016
277.5206298828125,41.7080078125
291.16259765625,44.26799011230469
301.39404296875,46.58402633666992
304.80450439453125,48.394718170166016
304.80450439453125,49.66582489013672
301.39404296875,50.38812255859375
301.39404296875,50.73051452636719
301.39404296875,50.95029830932617
301.39404296875,51.0825080871582
301.39404296875,51.16455078125
297.9835205078125,51.05026626586914
297.9835205078125,50.91690444946289
294.57305908203125,50.66111373901367
287.7520751953125,50.143009185791016
284.34161376953125,49.60836410522461
274.11016845703125,48.724308013916016
263.87872314453125,47.76789855957031
0.0,46.582733154296875
0.0,26.423311233520508
0.0,11.354602813720703
0.0,0.08049061894416809
0.0,8.313806533813477
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,9.275580406188965
0.0,4.788132190704346
0.0,0.7308160066604614
0.0,6.043227672576904
0.0,11.394608497619629
0.0,16.76495361328125
193.2340545654297,21.468978881835938
237.5703582763672,27.070554733276367
268.26470947265625,32.54022216796875
295.54864501953125,37.81707763671875
322.83245849609375,42.959617614746094
