actual,proposed
-0.1999959945678711,-0.2739185392856598
-0.19796237349510193,-0.2461780309677124
-0.19525088369846344,-0.22957152128219604
-0.19321726262569427,-0.21840624511241913
-0.18482241034507751,-0.21052391827106476
-0.18221034109592438,-0.20269431173801422
-0.18025128543376923,-0.1965700387954712
-0.17829221487045288,-0.19175495207309723
-0.17502710223197937,-0.18781939148902893
-0.14439891278743744,-0.18410439789295197
-0.14330504834651947,-0.17262764275074005
-0.14057038724422455,-0.164180189371109
-0.13947650790214539,-0.1573946177959442
-0.13783571124076843,-0.15225355327129364
-0.1481766253709793,-0.14812177419662476
-0.14698652923107147,-0.14813748002052307
-0.14639148116111755,-0.14780813455581665
-0.14579643309116364,-0.14740292727947235
-0.1446063369512558,-0.1469435691833496
-0.13512052595615387,-0.14627541601657867
-0.13456450402736664,-0.14308704435825348
-0.13456450402736664,-0.14065134525299072
-0.13512052595615387,-0.1389119029045105
-0.1356765478849411,-0.1378284990787506
-0.1373445987701416,-0.1372135877609253
-0.1592152863740921,-0.13725101947784424
-0.16178306937217712,-0.14352692663669586
-0.16370889544487,-0.14874321222305298
-0.16627667844295502,-0.1530192643404007
-0.1694863736629486,-0.15680719912052155
-0.17415045201778412,-0.16042989492416382
-0.17738714814186096,-0.16435012221336365
-0.18127115070819855,-0.16807503998279572
-0.18580244481563568,-0.17184540629386902
-0.19033372402191162,-0.17583318054676056
-0.22304661571979523,-0.17997623980045319
-0.23199686408042908,-0.19228242337703705
-0.2387094646692276,-0.203629732131958
-0.24616777896881104,-0.21365277469158173
-0.25288015604019165,-0.2229430079460144
-0.2375815212726593,-0.2314966768026352
-0.2465582638978958,-0.2332352101802826
-0.25208231806755066,-0.23704184591770172
-0.25829681754112244,-0.24133916199207306
-0.26451119780540466,-0.24618427455425262
-0.26796358823776245,-0.25142061710357666
-0.2915705740451813,-0.25614723563194275
-0.29811280965805054,-0.2662685215473175
-0.30392804741859436,-0.2753671407699585
-0.30974313616752625,-0.2835276126861572
-0.31483128666877747,-0.29101794958114624
-0.30518847703933716,-0.29782193899154663
-0.3100423514842987,-0.29992666840553284
-0.31212255358695984,-0.30281689763069153
-0.31281596422195435,-0.3054756820201874
-0.3148961365222931,-0.3075729012489319
-0.3242836594581604,-0.3096652626991272
